36 386.252 2.48339 28.8173
40 96.2499 0.527246 10.144
44 18.5426 0.0916456 2.88335
48 2.54064 0.0124526 0.569435
52 0.16369 0.000189641 0.0518174
56 0.00309074 0.000287928 0.000777134
60 0.000178602 0.000610541 0.000313984
64 0.000415179 0.000290961 0.000511372
68 0.000432813 0.000604884 0.000506499
72 0.000585296 0.0012126 0.000650085


36 86.911 0.527777 2.21712
40 36.0469 0.258269 1.37868
44 11.4335 0.0822239 0.651452
48 2.60165 0.0231129 0.207242
52 0.364792 0.00452422 0.0365094
56 0.0709764 0.00141115 0.0028702
60 0.0454014 0.0013081 0.000656691
64 0.0422451 0.00299442 0.000833275
68 0.0420487 0.00297926 0.00127504
72 0.0409956 0.00285694 0.00190769


36 473.163 3.01117 31.0344
40 132.297 0.785515 11.5227
44 29.9761 0.173869 3.5348
48 5.1423 0.0355655 0.776677
52 0.528483 0.00471386 0.0883268
56 0.0740671 0.00169908 0.00364733
60 0.04558 0.00191864 0.000970675
64 0.0426603 0.00328538 0.00134465
68 0.0424816 0.00358415 0.00178154
72 0.0415808 0.00406954 0.00255778
