1 0.999999995742385
2 0.999999620759035
3 0.999984647407604
4 0.999630108937716
5 0.99423824437377
6 0.943552732944796
7 0.70569109962959
8 0.292589526920166
9 0.0573964665873965
10 0.00638775400345884
11 0.000498331363304346
12 2.99695172561418e-05
13 1.44313422120979e-06
14 5.67781824690156e-08
15 1.84958539379531e-09
16 5.03572453691338e-11
17 1.15359810124956e-12
18 2.23858835641055e-14
19 3.58129312489817e-16
20 1.01579128676275e-16
21 6.33163975523871e-17
22 2.830871610559e-17
23 2.830871610559e-17
24 4.91870057910027e-18
25 -2.47873807528276e-18
26 -2.47873807528276e-18
27 -2.11919695093314e-17
28 -3.93133322962976e-17
29 -3.93133322962976e-17
30 -5.82894209974234e-17
31 -9.75607880592086e-17
32 -1.16460169512025e-16
